Topic,Count,Name,Representation,Representative_Docs
125,147,125_spaghetti spaghetti_spaghetti_bolognaise spaghetti_spaghetti italiano,"['spaghetti spaghetti', 'spaghetti', 'bolognaise spaghetti', 'spaghetti italiano', 'italiano spaghetti']","[""['spaghetti']"", ""['spaghetti']"", ""['spaghetti', 'spaghetti']""]"
126,146,126_aubergine_aubergine aubergine_eggplant_aubergine eggplant,"['aubergine', 'aubergine aubergine', 'eggplant', 'aubergine eggplant', 'aubergine salad']","[""['aubergine']"", ""['aubergine']"", ""['aubergine']""]"
127,143,127_bow_tie_bow tie_ties,"['bow', 'tie', 'bow tie', 'ties', 'bow ties']","[""['bow', 'tie', 'pasta', 'salad']"", ""['bow', 'tie', 'pasta', 'salad']"", ""['bow', 'tie', 'pasta', 'salad']""]"
128,142,128_salmon salmon_salmon_salmon sbd_tootie salmon,"['salmon salmon', 'salmon', 'salmon sbd', 'tootie salmon', 'lovin salmon']","[""['salmon']"", ""['salmon']"", ""['salmon']""]"
129,142,129_pie pie_pie_pie pies_pies pie,"['pie pie', 'pie', 'pie pies', 'pies pie', 'pies']","[""['pie']"", ""['pie']"", ""['pie']""]"
130,141,130_truffles_truffles chocolate_chocolate truffles_truffles truffles,"['truffles', 'truffles chocolate', 'chocolate truffles', 'truffles truffles', 'souffles']","[""['truffles']"", ""['truffles']"", ""['truffles']""]"
131,137,131_wilbur_todd wilbur_todd_wilbur version,"['wilbur', 'todd wilbur', 'todd', 'wilbur version', 'version']","[""['secret', 'version', 'todd', 'wilbur']"", ""['k', 'c', 'barbecue', 'sauce', 'todd', 'wilbur']"", ""['bread', 'todd', 'wilbur']""]"
132,135,132_tater_tot_tater tot_tot casserole,"['tater', 'tot', 'tater tot', 'tot casserole', 'tater tots']","[""['tater', 'tot', 'casserole']"", ""['tater', 'tot', 'casserole']"", ""['tater', 'tot', 'casserole']""]"
133,132,133_fudge_fudge fudge_fudge minute_fantasy fudge,"['fudge', 'fudge fudge', 'fudge minute', 'fantasy fudge', 'minute fudge']","[""['fudge']"", ""['fudge']"", ""['fudge']""]"
134,129,134_caesar_caesar salad_salad caesar_salad,"['caesar', 'caesar salad', 'salad caesar', 'salad', 'chicken caesar']","[""['caesar', 'salad']"", ""['caesar', 'salad']"", ""['caesar', 'salad']""]"
135,127,135_grits_tacos_grits tacos_grits grits,"['grits', 'tacos', 'grits tacos', 'grits grits', 'cheese grits']","[""['grits']"", ""['grits']"", ""['grits']""]"
136,127,136_quiche_quiche quiche_lorraine_quiche lorraine,"['quiche', 'quiche quiche', 'lorraine', 'quiche lorraine', 'quiches']","[""['quiche']"", ""['quiche']"", ""['quiche']""]"
137,127,137_ham_ham ham_macaroni ham_hamantaschen,"['ham', 'ham ham', 'macaroni ham', 'hamantaschen', 'mini ham']","[""['ham']"", ""['ham']"", ""['ham']""]"
138,126,138_wings_wings wings_bat wings_bat,"['wings', 'wings wings', 'bat wings', 'bat', 'wings style']","[""['wings']"", ""['wings']"", ""['wings']""]"
139,125,139_lentils_lentils lentils_lentil_lentils lentil,"['lentils', 'lentils lentils', 'lentil', 'lentils lentil', 'dal']","[""['lentils']"", ""['lentils']"", ""['lentils']""]"
140,122,140_spice_spice mix_spice spice_mix spice,"['spice', 'spice mix', 'spice spice', 'mix spice', 'spice blend']","[""['spice']"", ""['spice']"", ""['spice']""]"
141,120,141_glaze_glaze ham_ham glaze_orange glaze,"['glaze', 'glaze ham', 'ham glaze', 'orange glaze', 'ham']","[""['ham', 'glaze']"", ""['ham', 'glaze']"", ""['ham', 'glaze']""]"
142,118,142_tomatoes tomatoes_tomatoes_okra tomatoes_tomatoes okra,"['tomatoes tomatoes', 'tomatoes', 'okra tomatoes', 'tomatoes okra', 'okra']","[""['tomatoes']"", ""['tomatoes']"", ""['tomatoes']""]"
143,117,143_cheese cheese_cheese_world cheese_cheese world,"['cheese cheese', 'cheese', 'world cheese', 'cheese world', 'world']","[""['cheese']"", ""['cheese']"", ""['cheese']""]"
144,117,144_party_party dip_party chicken_party potatoes,"['party', 'party dip', 'party chicken', 'party potatoes', 'dinner party']","[""['party', 'dip']"", ""['party', 'dip']"", ""['party', 'dip']""]"
145,116,145_jambalaya_jambalaya jambalaya_sausage jambalaya_jambalaya sausage,"['jambalaya', 'jambalaya jambalaya', 'sausage jambalaya', 'jambalaya sausage', 'jambalaya crock']","[""['jambalaya']"", ""['jambalaya']"", ""['jambalaya']""]"
146,112,146_mussels_mussels mussels_mussels wine_sauce mussels,"['mussels', 'mussels mussels', 'mussels wine', 'sauce mussels', 'mussel']","[""['mussels']"", ""['mussels']"", ""['mussels']""]"
147,112,147_relish_relish cranberry_relish relish_corn relish,"['relish', 'relish cranberry', 'relish relish', 'corn relish', 'tomato relish']","[""['relish']"", ""['relish']"", ""['relish']""]"
148,111,148_fiesta_fiesta chicken_chicken fiesta_fiesta dip,"['fiesta', 'fiesta chicken', 'chicken fiesta', 'fiesta dip', 'fiesta fiesta']","[""['fiesta', 'chicken']"", ""['fiesta']"", ""['fiesta']""]"
149,111,149_liver_livers_chicken livers_chicken liver,"['liver', 'livers', 'chicken livers', 'chicken liver', 'beef liver']","[""['chicken', 'liver', 'pate']"", ""['chicken', 'liver', 'pate']"", ""['liver']""]"
150,111,150_cocoa_cocoa cocoa_cocoa mix_mix cocoa,"['cocoa', 'cocoa cocoa', 'cocoa mix', 'mix cocoa', 'mix']","[""['cocoa']"", ""['cocoa']"", ""['cocoa']""]"
151,109,151_appetizer_appetizers_appetizer appetizer_appetizers appetizer,"['appetizer', 'appetizers', 'appetizer appetizer', 'appetizers appetizer', 'bread appetizer']","[""['appetizer']"", ""['appetizer']"", ""['appetizer']""]"
152,108,152_beets_crepes_beets beets_crepes beets,"['beets', 'crepes', 'beets beets', 'crepes beets', 'beets crepes']","[""['beets']"", ""['beets']"", ""['beets', 'beets']""]"
153,108,153_shrimp shrimp_shrimp_shrimps_shrimp shrimps,"['shrimp shrimp', 'shrimp', 'shrimps', 'shrimp shrimps', 'shrimps shrimps']","[""['shrimp']"", ""['shrimp']"", ""['shrimp']""]"
154,105,154_pizza pizza_pizza_pizza pizzas_pizzas pizza,"['pizza pizza', 'pizza', 'pizza pizzas', 'pizzas pizza', 'pizzas']","[""['pizza']"", ""['pizza']"", ""['pizza']""]"
155,105,155_england_welsh_london_england clam,"['england', 'welsh', 'london', 'england clam', 'london broil']","[""['england', 'clam', 'chowder']"", ""['england', 'clam', 'chowder']"", ""['england', 'clam', 'chowder']""]"
156,104,156_carb_carb carb_carb chicken_chicken carb,"['carb', 'carb carb', 'carb chicken', 'chicken carb', 'casserole carb']","[""['carb']"", ""['carb']"", ""['carb', 'carb']""]"
157,103,157_enchiladas_enchiladas enchiladas_enchilada_enchiladas enchilada,"['enchiladas', 'enchiladas enchiladas', 'enchilada', 'enchiladas enchilada', 'enchilada enchiladas']","[""['enchiladas']"", ""['enchiladas']"", ""['enchiladas', 'enchiladas']""]"
158,102,158_mein_lo mein_chow mein_lo,"['mein', 'lo mein', 'chow mein', 'lo', 'chow']","[""['lo', 'mein']"", ""['lo', 'mein']"", ""['lo', 'mein']""]"
